,key,city,country,population,latitude,longitude
450,4843786,Storrs,US,15344,41.80843,-72.24952
451,4853423,Davenport,US,102582,41.52364,-90.57764
452,4862034,Iowa City,US,74220,41.66113,-91.53017
453,5282804,Bridgeport,US,147629,41.17923,-73.18945
454,4887398,Chicago,US,2720546,41.85003,-87.65005
455,4889668,Deerfield,US,19019,42.17114,-87.84451
456,4890536,East Moline,US,21350,41.50087,-90.4443
457,4898015,Joliet,US,147861,41.52519,-88.0834
458,4998830,Lansing,US,115056,42.73253,-84.55553
459,4914570,Urbana,US,42311,40.11059,-88.20727
460,4919381,Crawfordsville,US,16024,40.04115,-86.87445
461,4926563,South Bend,US,101516,41.68338,-86.25001
462,5327455,Belmont,US,27218,37.52021,-122.2758
463,4934500,Danvers,US,26493,42.57509,-70.93005
464,4937230,Framingham,US,68318,42.27926,-71.41617
465,5740099,Medford,US,79805,42.32652,-122.87559
466,4945121,New Bedford,US,94958,41.63526,-70.92701
467,4948924,Rockland,US,17982,42.13066,-70.91616
468,4990729,Detroit,US,677116,42.33143,-83.04575
469,5000947,Marquette,US,21297,46.54354,-87.39542
470,5105496,Trenton,US,84225,40.21705,-74.74294
471,5036420,Mankato,US,41044,44.15906,-94.00915
472,5039675,Northfield,US,20380,44.4583,-93.1616
473,5053156,Winona,US,27094,44.04996,-91.63932
474,5059163,Fargo,US,118523,46.87719,-96.7898
475,5350734,Fremont,US,232206,37.54827,-121.98857
476,5074472,Omaha,US,443885,41.25626,-95.94043
477,5090046,Nashua,US,87970,42.76537,-71.46757
478,5097017,Cranford,US,22627,40.65844,-74.29959
479,5427946,Lakewood,US,152597,39.70471,-105.08137
480,5101766,New Milford,US,16801,40.9351,-74.01903
481,5105608,Union,US,56771,40.6976,-74.2632
482,5110266,The Bronx,US,1385108,40.84985,-73.86641
483,5110302,Brooklyn,US,2300664,40.6501,-73.94958
484,5339631,Corona,US,164226,33.87529,-117.56644
485,5120228,Hauppauge,US,20882,40.82565,-73.20261
486,5121407,Howard Beach,US,26148,40.65788,-73.83625
487,5122432,Ithaca,US,30788,42.44063,-76.49661
488,5128581,New York City,US,8175133,40.71427,-74.00597
489,5128654,Newburgh,US,28290,41.50343,-74.01042
490,5134316,Ronkonkoma,US,19082,40.81538,-73.11233
491,5136454,Schenectady,US,65305,42.81424,-73.93957
