key,city,country,population,latitude,longitude,clusters
491422,Sochi,RU,327608,43.59917,39.72569,-1
498817,Saint Petersburg,RU,5028000,59.93863,30.31413,-1
524901,Moscow,RU,10381222,55.752219999999994,37.615559999999995,-1
104515,Mecca,SA,1323624,21.42664,39.82563,-1
379252,Khartoum,SD,1974647,15.551770000000001,32.53241,-1
2673730,Stockholm,SE,1515017,59.33258000000001,18.0649,-1
1880252,Singapore,SG,3547809,1.28967,103.85007,21
3196359,Ljubljana,SI,272220,46.05108,14.50513,-1
2253354,Dakar,SN,2476400,14.6937,-17.44406,-1
3583096,Soyapango,SV,329708,13.710239999999999,-89.13989000000001,4
3583361,San Salvador,SV,525990,13.68935,-89.18718,4
3585484,Ilopango,SV,38890,13.701670000000002,-89.10944,4
170654,Damascus,SY,1569394,33.5102,36.29128,-1
1153090,Kamphaeng Phet,TH,58787,16.483439999999998,99.52153,21
1605239,Udon Thani,TH,247231,17.415670000000002,102.78589000000001,21
1607737,Phetchabun,TH,50656,16.41904,101.16056,21
1609350,Bangkok,TH,5104476,13.753979999999999,100.50144,21
1611269,Chanthaburi,TH,99819,12.60961,102.10446999999999,21
3573576,Tunapuna,TT,17758,10.65245,-61.388780000000004,28
3573732,Sangre Grande,TT,15968,10.58705,-61.13008000000001,28
3574309,Laventille,TT,21000,10.64917,-61.49889,28
1668341,Taipei,TW,7871900,25.04776,121.53185,-1
6696918,Taoyuan City,TW,402014,24.993679999999998,121.29696000000001,-1
148730,Zanzibar,TZ,403658,-6.16394,39.19793,-1
148730,Zanzibar,TZ,403658,-6.16394,39.19793,-1
161325,Arusha,TZ,341136,-3.3666699999999996,36.68333,-1
232422,Kampala,UG,1353189,0.31628,32.582190000000004,-1
233508,Entebbe,UG,62969,0.05621,32.479490000000006,-1
5261457,Madison,US,248951,43.07305,-89.40123,4
4076598,Mobile,US,194288,30.694359999999996,-88.04305,4
4101241,Benton,US,34177,34.56454,-92.58683,4
4101260,Bentonville,US,44499,36.37285,-94.20881999999999,4
4466033,Fayetteville,US,201963,35.052659999999996,-78.87836,4
4160021,Jacksonville,US,868031,30.332179999999997,-81.65565,4
4132093,Springdale,US,77859,36.18674,-94.12881,4
5101798,Newark,US,281944,40.735659999999996,-74.17237,4
4148411,Boca Raton,US,93235,26.358690000000003,-80.0831,4
